Word,Plays,AvgScorePerPlay,AvgScorePerGame,WinRate
JERK,95493,39.90,0.07663182,0.5055
ENUF,134126,28.40,0.07662679,0.4586
OOFY,119136,31.95,0.07656822,0.4905
GAWP,131800,28.85,0.07649255,0.4841
WAIDE,108024,35.14,0.07635668,0.4826
HELIX,80748,46.98,0.07630716,0.5297
ZOOTY,80577,47.00,0.07616799,0.5369
GABY,116095,32.60,0.07612421,0.4989
WOOTZ,77698,48.71,0.07612229,0.5410
POXY,93158,40.59,0.07605324,0.5125
RAM,115330,32.78,0.07604592,0.4802
GITE,118099,32.01,0.07604431,0.4664
OJIME,90971,41.55,0.07603285,0.5060
AZOIC,83475,45.27,0.07600801,0.5175
DADO,122890,30.73,0.07596784,0.4794
POUF,130557,28.91,0.07592711,0.4777
GYM,127523,29.59,0.07589145,0.5022
HEBE,112857,33.42,0.07587357,0.4773
IDEM,105060,35.86,0.07578806,0.4840
AYAH,103709,36.33,0.07577517,0.4898
CHEZ,72072,52.24,0.07572911,0.5553
NAVY,125048,30.10,0.07570326,0.4875
MOBE,106259,35.39,0.07564043,0.4886
SYE,84331,44.59,0.07563596,0.5282
DAZE,78500,47.89,0.07561953,0.5262
MEWL,125665,29.90,0.07558723,0.4732
FOGIE,127916,29.37,0.07557433,0.4641
AREA,150075,25.01,0.07550778,0.4431
BUM,134469,27.90,0.07545397,0.4786
AZOTE,70150,53.48,0.07545353,0.5352
DEVI,114968,32.63,0.07544977,0.4797
VELDT,146495,25.59,0.07540992,0.4563
ERUV,160446,23.36,0.07538005,0.4420
MOXA,87695,42.72,0.07535371,0.5210
AXITE,82905,45.16,0.07530686,0.4899
HOC,107709,34.76,0.07529817,0.4889
ECO,163720,22.85,0.07525352,0.4592
VILD,168133,22.23,0.07516091,0.4534
HOURI,129473,28.86,0.07514641,0.4580
QUEUE,102657,36.39,0.07513159,0.4705
DEFY,98910,37.72,0.07503927,0.5108
JAUP,96146,38.79,0.07501599,0.5059
VAMP,130526,28.57,0.07499745,0.4798
SIG,125137,29.76,0.07490519,0.4839
FAVER,105192,35.40,0.07490074,0.4852
ZOOS,72176,51.56,0.07485854,0.5415
JINNI,105646,35.22,0.07484625,0.4711
AUTO,194596,19.11,0.07478509,0.4116
BIVIA,146620,25.35,0.07474868,0.4448
RIOTISE,51498,72.00,0.07457484,0.5564
WEID,111080,33.37,0.07456609,0.4680
HEME,100403,36.92,0.07456281,0.4911
SAD,80511,46.00,0.07448447,0.5327
WAVE,114975,32.20,0.07446516,0.4783
WAME,105381,35.12,0.07444812,0.4817
FAME,104622,35.38,0.07444309,0.4867
JOEYS,72708,50.87,0.07440057,0.5416
ZONK,77164,47.93,0.07438629,0.5430
VIVE,152381,24.27,0.07438116,0.4487
LUXE,94033,39.32,0.07436704,0.4987
BAWD,126125,29.25,0.07420096,0.4821
EWES,77533,47.55,0.07416061,0.5249
BORTZ,81918,44.99,0.07412785,0.5217
YUNX,94104,39.13,0.07405821,0.5230
SET,81937,44.89,0.07398981,0.5325
UNAI,204769,17.96,0.07397245,0.4086
FEET,109155,33.68,0.07393504,0.4726
VIBEY,105786,34.74,0.07391064,0.4876
ZOIST,64540,56.92,0.07389008,0.5598
ZAYIN,72876,50.37,0.07382829,0.5329
JASY,70548,52.02,0.07382061,0.5580
ERADIATE,51899,70.69,0.07378933,0.5538
ENVY,125409,29.24,0.07375824,0.4775
TIDE,108609,33.76,0.07375486,0.4817
ZARFS,67504,54.31,0.07373448,0.5498
TWIN,120676,30.37,0.07372274,0.4604
WENA,105059,34.88,0.07370632,0.4843
ALS,78719,46.50,0.07362595,0.5283
JOBS,81498,44.88,0.07356410,0.5241
JEDIS,75571,48.39,0.07355575,0.5293
NYED,100722,36.30,0.07354089,0.4993
BODE,104595,34.95,0.07353550,0.4872
ARENITE,51928,70.40,0.07353375,0.5457
BOWIE,120809,30.24,0.07347859,0.4681
EYER,101352,36.04,0.07346884,0.4826
ANS,83181,43.83,0.07333832,0.5241
DIXY,90632,40.23,0.07333410,0.5271
NOAH,108817,33.47,0.07326484,0.4751
BRUX,101585,35.83,0.07321438,0.4999
MIAOU,158058,23.03,0.07320225,0.4352
JUVES,77794,46.78,0.07319573,0.5291
ORYX,82390,44.11,0.07310595,0.5305
VANT,158106,22.96,0.07301569,0.4511
ALOW,114384,31.72,0.07297243,0.4765
DEWY,95757,37.89,0.07297028,0.5149
ZINS,74665,48.58,0.07296489,0.5179
FLIX,91641,39.58,0.07296169,0.5208
HEFT,101679,35.67,0.07294252,0.4845
DIOTA,120445,30.08,0.07288274,0.4702
WIDE,110398,32.81,0.07284487,0.4772
FEED,104303,34.68,0.07276568,0.4908
BAS,89328,40.48,0.07272978,0.5166
HOBO,105511,34.25,0.07267611,0.4927
JOULE,101298,35.66,0.07265733,0.4868
PEP,108946,33.14,0.07262022,0.4889
SIJO,100701,35.84,0.07260131,0.4846
FENT,122886,29.37,0.07258719,0.4644
TOUZE,86719,41.61,0.07257930,0.4981
OKEH,88943,40.55,0.07254195,0.5141
MOC,112263,32.11,0.07250720,0.4849
VOWED,113092,31.86,0.07247166,0.4855
YOGEE,111228,32.39,0.07246649,0.4843
WAIN,107989,33.36,0.07246244,0.4683
OLIO,212914,16.92,0.07246069,0.4181
FROW,107076,33.61,0.07238285,0.4884
DEIF,102570,35.08,0.07237829,0.4795
AIGA,176997,20.32,0.07234761,0.4214
PIP,109860,32.74,0.07234490,0.4878
JARK,86921,41.36,0.07231684,0.5211
WONT,109549,32.82,0.07231583,0.4747
VIDEO,119166,30.16,0.07229691,0.4657
FAINE,110712,32.46,0.07227341,0.4717
MIRVS,73405,48.93,0.07223902,0.5283
DETAINEE,50636,70.92,0.07223218,0.5610
ESS,76867,46.69,0.07218397,0.5282
TIFO,133670,26.83,0.07213024,0.4463
REJIG,108206,33.13,0.07211472,0.4620
VAWTE,117002,30.64,0.07209792,0.4729
WEND,114321,31.28,0.07193462,0.4786
JUICE,95753,37.35,0.07192884,0.4788
DIVOT,125951,28.38,0.07190756,0.4575
JAZY,67295,53.03,0.07178465,0.5712
PEGH,105266,33.90,0.07177976,0.4957
WIVER,107911,33.04,0.07171121,0.4714
SMA,74802,47.63,0.07165737,0.5317
JUST,84365,42.21,0.07162394,0.5048
JOWLS,71761,49.62,0.07161929,0.5393
FOXIE,91455,38.89,0.07154189,0.4972
WAUR,144694,24.58,0.07152516,0.4442
YORE,108129,32.87,0.07149529,0.4701
FJORD,95762,37.10,0.07146613,0.5000
INOSITE,49659,71.55,0.07146578,0.5615
DUM,120648,29.43,0.07142861,0.4872
VIREO,129603,27.40,0.07142700,0.4389
ZEALS,66376,53.48,0.07140478,0.5497
VOEMA,106754,33.24,0.07138342,0.4851
APOD,104584,33.93,0.07137173,0.4831
DEVA,101548,34.88,0.07124863,0.4943
FUJIS,73136,48.43,0.07123916,0.5287
ANISEED,46596,76.01,0.07123844,0.5934
OARIEST,46494,76.13,0.07119290,0.5641
IVORY,110627,31.99,0.07117152,0.4749
DIYA,121998,29.00,0.07115502,0.4625
BREW,115931,30.51,0.07113393,0.4713
BOHO,107172,32.91,0.07093975,0.4884
AIAS,93277,37.80,0.07092008,0.4810
DEEV,114540,30.78,0.07091758,0.4713
WAAH,95954,36.72,0.07086872,0.5024
ALAE,139736,25.21,0.07084437,0.4477
URAO,195685,17.99,0.07080142,0.4175
AIRIEST,47634,73.90,0.07080060,0.5472
EATERIES,50238,70.05,0.07077952,0.5443
TOPAZ,68503,51.37,0.07077849,0.5434
BAVIN,129357,27.19,0.07073406,0.4525
YABA,102584,34.28,0.07072272,0.4912
JADED,86717,40.52,0.07068108,0.5097
DEAF,98109,35.78,0.07061384,0.4862
GYVED,106252,33.01,0.07054564,0.4872
AZIDO,65662,53.40,0.07052303,0.5426
UNIT,118056,29.70,0.07051368,0.4640
WILJA,94289,37.17,0.07048429,0.4948
SEALINE,47425,73.85,0.07044678,0.5749
THEW,99629,35.14,0.07042546,0.4856
DJINS,76326,45.85,0.07038225,0.5157
KITE,95897,36.47,0.07034289,0.4799
LEI,184279,18.98,0.07033410,0.4412
AZIDE,63366,55.18,0.07032716,0.5439
VIBS,117451,29.76,0.07029355,0.4769
TWIT,119359,29.27,0.07027525,0.4644
RETAX,76066,45.93,0.07026907,0.5100
REFI,110031,31.74,0.07025598,0.4654
PELF,115470,30.23,0.07021784,0.4843
DHOW,96253,36.27,0.07021517,0.5042
OLEARIA,56292,61.82,0.06999516,0.5536
SEN,84118,41.37,0.06998957,0.5228
ZEINS,63030,55.17,0.06994166,0.5480
BIOG,120412,28.87,0.06991326,0.4693
PIVOT,129736,26.79,0.06990465,0.4492
HAJIS,68326,50.85,0.06987993,0.5325
DEWAX,73260,47.41,0.06986211,0.5414
JAILS,71856,48.31,0.06981820,0.5295
AGAR,96160,36.08,0.06978662,0.4843
LATEX,77138,44.96,0.06974995,0.5245
MOJO,98785,35.10,0.06973899,0.5048
AXOID,81403,42.58,0.06971411,0.5134
EVENT,92845,37.32,0.06969772,0.4860
TWA,122561,28.27,0.06969488,0.4750
XERIC,75959,45.60,0.06967523,0.5082
FIND,122352,28.31,0.06966988,0.4648
FRIZE,74786,46.30,0.06964765,0.5142
MOL,114319,30.26,0.06958578,0.4797
UREA,124225,27.84,0.06957390,0.4576
VEINY,100281,34.49,0.06957227,0.4830
FOBS,72345,47.81,0.06956993,0.5366
KAWA,91333,37.87,0.06956452,0.4971
EVITE,104924,32.92,0.06947974,0.4547
HOED,92218,37.42,0.06941232,0.4980
TUM,119088,28.96,0.06937183,0.4737
PUBE,111121,31.02,0.06933565,0.4726
ZATIS,62615,55.03,0.06930691,0.5449
SOM,82418,41.81,0.06930228,0.5205
WALTZ,74715,46.09,0.06926799,0.5249
ZYGA,69652,49.42,0.06923957,0.5492
ZULU,98555,34.92,0.06922901,0.4892
FAVOR,115004,29.93,0.06922617,0.4672
AULOI,201635,17.07,0.06922347,0.4138
OBVS,125556,27.41,0.06921382,0.4751
WOWF,104743,32.83,0.06916693,0.4969
WIND,120448,28.54,0.06914909,0.4615
ZONED,69273,49.62,0.06913938,0.5328
DOUANIER,49243,69.80,0.06913570,0.5729
WAIT,104706,32.82,0.06911753,0.4686
OURIE,184141,18.63,0.06901636,0.4059
JEWEL,88499,38.75,0.06897276,0.5011
WENT,108734,31.48,0.06884057,0.4658
LOBI,111304,30.75,0.06883721,0.4718
JOMO,86738,39.45,0.06882713,0.5062
FIVES,80201,42.64,0.06878980,0.5065
CZAR,87563,39.03,0.06873704,0.4975
TAHA,105013,32.54,0.06873231,0.4776
VIED,107285,31.85,0.06872674,0.4699
PIXY,81809,41.75,0.06869838,0.5223
FLOB,120742,28.24,0.06857706,0.4831
KUIA,132786,25.65,0.06850792,0.4492
QUADS,65953,51.61,0.06845857,0.5384
LUVS,84285,40.36,0.06841663,0.5104
ROOF,98661,34.46,0.06837546,0.4812
ZIGAN,67179,50.58,0.06834084,0.5253
MUS,79261,42.85,0.06831413,0.5228
FETA,97880,34.67,0.06826268,0.4841
MOUE,111855,30.33,0.06824834,0.4625
UNTAX,85251,39.78,0.06821125,0.5009
FOVEAE,88056,38.49,0.06816504,0.4890
SHY,88249,38.40,0.06816472,0.5255
ALOWE,98203,34.51,0.06816382,0.4820
JEES,77110,43.94,0.06814805,0.5115
EQUES,71767,47.19,0.06812546,0.4970
HOVED,97487,34.74,0.06812371,0.4913
YATE,97826,34.59,0.06806188,0.4779
ZIMB,73158,46.24,0.06804708,0.5267
PIEZO,69045,48.98,0.06802549,0.5326
AUK,123149,27.42,0.06792404,0.4792
WINY,99172,34.02,0.06785256,0.4865
EUK,124842,27.02,0.06785240,0.4691
HIED,92264,36.54,0.06781438,0.4920
QUAKE,70974,47.50,0.06780812,0.5185
YOUS,67814,49.65,0.06772320,0.5339
NIE,187910,17.92,0.06771530,0.4485
SOT,96709,34.76,0.06761047,0.4948
WUXIA,96899,34.67,0.06756424,0.4859
VEHME,85899,39.07,0.06751131,0.5037
HADE,88372,37.97,0.06748707,0.4896
VADE,104812,32.00,0.06745676,0.4725
KNEW,92120,36.39,0.06742093,0.5017
RETINAE,47405,70.68,0.06739442,0.5290
QUASI,61563,54.36,0.06731753,0.5297
FAVEL,101502,32.96,0.06729657,0.4806
AMIA,119758,27.92,0.06726039,0.4484
SAG,71742,46.60,0.06724391,0.5327
DUIT,115625,28.91,0.06723695,0.4573
HEAVY,85363,39.15,0.06721292,0.5062
KEEF,85853,38.92,0.06721159,0.5047
BEWIG,112142,29.80,0.06720574,0.4678
VENOM,103731,32.20,0.06717321,0.4770
TREF,103760,32.18,0.06715782,0.4690
OZONE,72183,46.24,0.06713037,0.5193
WEBS,71132,46.88,0.06706995,0.5270
LIEU,199066,16.75,0.06705619,0.4189
FOZY,70115,47.51,0.06700880,0.5608
RUM,108995,30.56,0.06699935,0.4767
EULOGIAE,50199,66.35,0.06699349,0.5710
FEAZE,64897,51.32,0.06699102,0.5471
ROBE,94757,35.14,0.06697479,0.4835
RHY,104663,31.81,0.06697139,0.4962
REALTONE,48225,69.03,0.06696248,0.5578
OGEED,99867,33.33,0.06694490,0.4764
AWEEL,93674,35.47,0.06682536,0.4917
WRIT,130787,25.39,0.06679481,0.4428
QUART,78414,42.34,0.06678298,0.4860
WOXEN,83752,39.63,0.06675539,0.5086
WAWA,100550,33.01,0.06675205,0.4853
AERADIOS,46879,70.76,0.06671617,0.5688
AYES,68040,48.71,0.06665902,0.5273
BAPU,116421,28.46,0.06664480,0.4677
JAXY,68908,48.07,0.06662131,0.5570
TOHO,103776,31.91,0.06660644,0.4727
CHIV,110269,30.02,0.06658571,0.4742
TOWY,95614,34.62,0.06657569,0.4968
QUERNS,63987,51.71,0.06655196,0.5286
JAGER,81692,40.49,0.06652997,0.5024
SIC,101385,32.62,0.06651052,0.4825
WIFEY,86567,38.20,0.06650748,0.5028
WAUL,133354,24.80,0.06650694,0.4519
EXONS,62735,52.70,0.06650415,0.5406
FINO,111186,29.73,0.06649578,0.4619
PUJA,95471,34.62,0.06648389,0.4965
COOF,104300,31.67,0.06643079,0.4897
VEZIR,78379,42.11,0.06639261,0.5036
AEGIRINE,46645,70.76,0.06638531,0.5488
AEROSAT,45192,73.00,0.06635285,0.5703
ZIRAM,62352,52.90,0.06634808,0.5447
RAS,96966,34.02,0.06634537,0.4888
QUOTHA,74934,44.00,0.06631129,0.5036
HAEN,95441,34.52,0.06627006,0.4738
AXIL,91386,36.05,0.06625667,0.4829
MOFO,105175,31.32,0.06624830,0.4816
FRIB,112729,29.19,0.06618570,0.4659
QURSH,68096,48.28,0.06612920,0.5237
JARLS,69461,47.31,0.06609819,0.5302
JOYED,75717,43.37,0.06605521,0.5263
BLEW,114489,28.68,0.06605472,0.4777
GAWD,113268,28.98,0.06603055,0.4834
ZILL,84679,38.72,0.06594914,0.4925
QUOTER,74356,44.09,0.06594605,0.4969
XYST,66153,49.54,0.06591646,0.5399
JOWLY,78264,41.85,0.06588233,0.5253
JABOT,81219,40.30,0.06583351,0.5088
ZANJA,63151,51.82,0.06581905,0.5459
FETT,113044,28.93,0.06577021,0.4635
SIB,102065,32.03,0.06575617,0.4987
AVION,125620,26.02,0.06574931,0.4390
CODA,102123,32.00,0.06572480,0.4737
IRID,150708,21.68,0.06570593,0.4283
QIBLAS,66233,49.27,0.06564229,0.5296
IRISATE,44674,73.04,0.06562761,0.5655
AWFY,93007,35.05,0.06557664,0.5145
EXINE,75991,42.88,0.06554158,0.4860
CIG,156358,20.84,0.06554049,0.4636
YEBO,93034,35.02,0.06553462,0.4881
IVIED,110276,29.54,0.06552090,0.4523
VULN,177701,18.33,0.06551117,0.4441
NODE,96984,33.57,0.06548379,0.4815
YARE,88708,36.70,0.06547587,0.4873
YAUD,107181,30.37,0.06547084,0.4751
CRUX,91301,35.61,0.06538558,0.4927
JOLTY,79882,40.69,0.06537029,0.5172
VIRTU,142996,22.73,0.06536830,0.4248
MEVE,112110,28.98,0.06535219,0.4711
BAJU,90275,35.99,0.06534235,0.4954
GEEK,95866,33.88,0.06533099,0.4872
ETIOLATE,47672,68.08,0.06527680,0.5608
ZUPAN,70946,45.74,0.06526507,0.5182
ANTERIOR,46486,69.76,0.06522660,0.5399
VOAR,119312,27.16,0.06517321,0.4544
XENIC,70382,46.01,0.06513651,0.5102
HAVE,94905,34.12,0.06513341,0.4851
NOTITIAE,49122,65.92,0.06512882,0.5442
JIVES,70574,45.81,0.06503177,0.5207
MAZE,64024,50.49,0.06501854,0.5302
NAVEW,101046,31.98,0.06499175,0.4767
SAUTOIRE,48338,66.84,0.06498760,0.5461
BOWR,93347,34.59,0.06495078,0.4811
OBEAH,90444,35.70,0.06493702,0.4939
WIMP,103378,31.21,0.06489659,0.4775
KAYO,85026,37.94,0.06488243,0.5048
BETH,94483,34.07,0.06474646,0.4877
GONE,104297,30.86,0.06473849,0.4693
BENE,98179,32.76,0.06469694,0.4802
HAFIZ,62273,51.64,0.06467793,0.5457
ORIXA,71617,44.89,0.06466822,0.5009
FLUX,85896,37.43,0.06466359,0.5187
WAS,95301,33.73,0.06466172,0.5022
GHEE,109303,29.41,0.06466140,0.4722
VITAE,109508,29.34,0.06462612,0.4464
GYP,110451,29.06,0.06455095,0.5011
WIGS,69768,45.98,0.06452126,0.5214
ESTRONE,42989,74.61,0.06451710,0.5700
GOWD,120735,26.56,0.06450437,0.4772
EBON,94095,34.05,0.06443626,0.4770
JAVAS,66507,48.16,0.06442858,0.5350
FLAW,98686,32.45,0.06442118,0.4905
VRIL,153636,20.83,0.06437938,0.4390
EYOT,102579,31.20,0.06436424,0.4622
JIBS,76234,41.95,0.06431884,0.5106
AREAE,151071,21.16,0.06429631,0.4101
WEEK,80356,39.78,0.06429438,0.5068
ENVOY,99195,32.22,0.06428028,0.4819
HOIK,78914,40.48,0.06424925,0.5136
AMID,90807,35.18,0.06424814,0.4841
WEPT,98939,32.28,0.06424339,0.4731
HUGE,98328,32.48,0.06423635,0.4762
AZURE,67009,47.65,0.06422569,0.5089
UMS,66218,48.20,0.06420166,0.5356
DUO,156548,20.39,0.06419297,0.4437
GAP,124058,25.72,0.06418894,0.4740
VIVA,128607,24.81,0.06417857,0.4501
WINE,98761,32.31,0.06417734,0.4600
JOLL,104151,30.63,0.06417303,0.4778
FOOT,100835,31.63,0.06414425,0.4731
TAENIAS,42763,74.47,0.06404992,0.5677
PIOY,101194,31.45,0.06400671,0.4740
OPAL,98554,32.28,0.06398571,0.4796
WINZE,67531,47.06,0.06392626,0.5232
ZINGY,65114,48.78,0.06388585,0.5378
YOGA,105822,30.00,0.06386065,0.4790
PADI,99465,31.92,0.06385576,0.4683
ALOE,158407,20.02,0.06380175,0.4271
TAENIOID,44730,70.87,0.06375967,0.5751
QUONK,72106,43.94,0.06372874,0.5150
PEBA,101938,31.06,0.06368121,0.4697
PHEW,84842,37.29,0.06363040,0.5064
OXEYE,69209,45.70,0.06361130,0.5304
AXION,76815,41.11,0.06351071,0.4907
FIBS,68884,45.82,0.06348420,0.5214
FEDEX,66146,47.70,0.06345628,0.5375
MIXY,74820,42.16,0.06345398,0.5263
VOLK,111567,28.26,0.06340800,0.4845
WEEN,95977,32.83,0.06337697,0.4745
MIXTE,74352,42.36,0.06335038,0.5128
DIFS,71235,44.21,0.06334611,0.5227
EERIE,172512,18.25,0.06333340,0.3905
SAB,66635,47.25,0.06333332,0.5324
FEHME,74953,42.00,0.06331641,0.5123
PWNS,79507,39.59,0.06331516,0.5007
MOM,96126,32.73,0.06329032,0.4916
FALX,78328,40.15,0.06325263,0.5235
OILY,115961,27.07,0.06314182,0.4604
WITH,86647,36.20,0.06309441,0.4840
BEVUE,121161,25.89,0.06309383,0.4527
QUALM,74040,42.36,0.06308996,0.5078
ZESTY,56182,55.83,0.06308516,0.5629
MILTZ,70791,44.30,0.06307478,0.5173
FAZED,68491,45.77,0.06305078,0.5307
JOUAL,90901,34.48,0.06304211,0.4869
LOUIE,176209,17.79,0.06303632,0.4124
ASK,79894,39.22,0.06302260,0.5187
GOATIER,47281,66.27,0.06302005,0.5705
EQUIDS,63027,49.70,0.06300919,0.5251
OYES,68427,45.75,0.06296319,0.5209
BINE,89573,34.91,0.06289808,0.4708
FABS,66616,46.94,0.06289052,0.5352
TOADIES,41412,75.47,0.06286562,0.5858
ZONAL,67982,45.97,0.06285568,0.5317
QUIMS,61442,50.85,0.06284009,0.5383
FRY,105614,29.58,0.06283653,0.4976
AKEE,105873,29.50,0.06282774,0.4630
VINA,108580,28.76,0.06280982,0.4585
REDOX,69247,45.04,0.06273844,0.5241
NOTAIRE,44449,70.17,0.06273138,0.5442
HUED,93451,33.37,0.06272643,0.4834
JERRY,77552,40.21,0.06272023,0.4998
ALIENEE,51810,60.18,0.06271756,0.5463
VAUTE,112513,27.70,0.06268544,0.4573
FAND,103988,29.91,0.06256435,0.4817
EROTICA,44392,70.04,0.06254202,0.5628
KAVA,97448,31.90,0.06253444,0.4911
PEDI,96307,32.26,0.06249478,0.4695
MAC,91017,34.13,0.06247985,0.4844
AGAZE,67265,46.16,0.06245137,0.5213
LODE,90831,34.17,0.06243373,0.4855
TEAZE,64028,48.48,0.06242915,0.5082
LOBE,93039,33.35,0.06240694,0.4810
HOVEN,93587,33.14,0.06237506,0.4862
SPIV,98789,31.39,0.06237080,0.4717
REGO,95737,32.39,0.06236989,0.4733
WAIR,96500,32.13,0.06236040,0.4657
EQUIPE,69528,44.56,0.06232138,0.4986
APAY,89979,34.43,0.06231619,0.4865
DAFT,108774,28.48,0.06231540,0.4745
OLEA,134863,22.97,0.06231486,0.4344
OCA,136876,22.62,0.06228119,0.4574
JETES,64428,48.05,0.06227236,0.5208
NIS,102510,30.18,0.06223535,0.4826
DURZI,76983,40.17,0.06219969,0.5009
INERTIAL,46410,66.55,0.06212573,0.5338
BOEUF,100706,30.67,0.06212412,0.4770
AIERY,99795,30.92,0.06206102,0.4600
DOWT,103824,29.70,0.06202983,0.4760
COXY,76997,40.05,0.06202906,0.5163
EASE,118700,25.98,0.06202077,0.4425
MOS,75347,40.92,0.06200752,0.5187
ABAC,87382,35.27,0.06198413,0.4844
BOOH,86925,35.45,0.06197988,0.4982
ABED,86777,35.47,0.06190643,0.4897
CAM,96810,31.77,0.06186652,0.4849
IGAD,105448,29.15,0.06181903,0.4644
SEQUOIA,40004,76.83,0.06181781,0.6112
KIEF,77893,39.42,0.06175915,0.5017
AKE,93792,32.73,0.06175268,0.4883
ELATION,44784,68.55,0.06175153,0.5754
FIAT,101035,30.38,0.06173753,0.4503
IDEATES,40650,75.51,0.06173494,0.5810
UNAU,205919,14.90,0.06170877,0.4146
JURAT,80020,38.33,0.06169537,0.4889
GOAD,106635,28.75,0.06167393,0.4675
VOICE,106972,28.66,0.06167319,0.4520
QUOIFS,59476,51.50,0.06160923,0.5329
COG,132533,23.11,0.06160190,0.4701
REWAX,66761,45.82,0.06152368,0.5276
PIOYE,90633,33.74,0.06150051,0.4800
GEEP,105657,28.94,0.06149814,0.4597
DIVE,74982,40.77,0.06148130,0.5099
ILIA,196891,15.52,0.06147460,0.4054
BLITZ,68696,44.48,0.06145811,0.5244
HEID,85665,35.65,0.06143504,0.4752
LOOIE,172326,17.71,0.06139437,0.4080
BOYF,87769,34.71,0.06127383,0.5122
FJELD,81786,37.25,0.06127260,0.4997
TOAZE,58919,51.66,0.06122045,0.5239
FIR,124839,24.37,0.06119641,0.4604
BEDE,84410,36.02,0.06114723,0.4839
SOUTANE,41967,72.42,0.06113379,0.5898
FERN,109764,27.69,0.06112865,0.4644
VEGIE,112516,26.98,0.06106189,0.4503
GOOD,111336,27.26,0.06104548,0.4614
VOLT,141069,21.51,0.06104071,0.4488
INAURATE,44299,68.50,0.06103415,0.5456
TELEX,69317,43.77,0.06102997,0.5119
DIPT,108108,28.02,0.06093302,0.4628
SAT,65676,46.12,0.06092666,0.5351
AVOWED,73459,41.21,0.06089080,0.5072
GAPO,102485,29.54,0.06088913,0.4712
DOZY,65441,46.24,0.06086029,0.5525
JOWAR,75803,39.92,0.06085805,0.5016
WANE,89380,33.85,0.06084721,0.4741
VAUT,107139,28.21,0.06079858,0.4608
HOTE,84418,35.79,0.06077450,0.4737
ORFE,83537,36.15,0.06074916,0.4850
WATE,88306,34.18,0.06071092,0.4739
ADVEW,89478,33.71,0.06066114,0.4889
GIED,99842,30.20,0.06064984,0.4646
HOER,81116,37.16,0.06063616,0.4834
NIEF,91103,33.09,0.06063505,0.4637
ASEA,116360,25.90,0.06062375,0.4495
TENTORIA,42311,71.22,0.06060876,0.5516
VOTED,99488,30.27,0.06057362,0.4742
AEGIRITE,42845,70.26,0.06055263,0.5519
AREOLATE,43895,68.56,0.06053565,0.5616
ZITS,59410,50.65,0.06052457,0.5312
POWN,90916,33.07,0.06047734,0.4816
WEAVE,88556,33.93,0.06044373,0.4831
ORDINEE,43623,68.89,0.06044331,0.5691
HERE,85958,34.95,0.06043011,0.4834
YEVEN,79241,37.91,0.06042235,0.4976
AGER,80481,37.33,0.06042231,0.4876
JELL,100390,29.92,0.06040861,0.4719
AFAR,87436,34.34,0.06038999,0.4831
UNEASIER,43519,68.95,0.06035529,0.5469
AWAVE,86870,34.54,0.06035052,0.4784
ENFIX,65927,45.48,0.06030295,0.5263
FOUR,86022,34.83,0.06026220,0.4815
WOES,63467,47.20,0.06024752,0.5293
JUREL,85131,35.18,0.06024122,0.4867
FITT,105521,28.38,0.06023330,0.4554
AMEN,85902,34.85,0.06021391,0.4786
AJUGA,75657,39.56,0.06020061,0.5048
BAGH,90660,33.00,0.06018187,0.4986
FOND,101063,29.57,0.06010694,0.4738
RELAX,68974,43.32,0.06010252,0.5130
HAFT,83836,35.63,0.06008241,0.4922
JAGIR,79565,37.54,0.06007126,0.4749
JOTAS,62707,47.61,0.06004869,0.5308
RITZY,66613,44.81,0.06003659,0.5201
BITE,93758,31.83,0.06003057,0.4646
JONGS,63146,47.26,0.06002275,0.5298
WHOA,84930,35.13,0.06000939,0.4991
GADJO,79807,37.38,0.06000615,0.5033
AWETO,93534,31.89,0.06000467,0.4575
EPINAOI,50596,58.95,0.05999264,0.5466
WHEY,72096,41.35,0.05996751,0.5242
AWATO,107843,27.64,0.05994599,0.4547
FEEL,92236,32.30,0.05991514,0.4828
DOWP,94793,31.42,0.05990383,0.4893
DEAW,83577,35.62,0.05988583,0.4859
FEIJOA,73042,40.75,0.05987342,0.4958
YOWED,77003,38.65,0.05986922,0.5088
OZEKI,61508,48.39,0.05986614,0.5289
WEET,86364,34.45,0.05983865,0.4723
DITA,95436,31.13,0.05976243,0.4703
ARET,86161,34.45,0.05970481,0.4816
WHIG,93218,31.83,0.05967979,0.4857
VARY,88130,33.67,0.05967792,0.4886
ILEA,141074,21.02,0.05963178,0.4251
AGOOD,108329,27.35,0.05958419,0.4632
BEFOG,95965,30.87,0.05958069,0.4813
VOTE,112831,26.24,0.05954098,0.4525
HOOVE,95231,31.07,0.05951445,0.4702
AUDITEE,47691,62.04,0.05951164,0.5529
OLE,146947,20.13,0.05950264,0.4530
HIND,93390,31.68,0.05950238,0.4707
YODH,73817,40.07,0.05949267,0.5214
VIXEN,76750,38.50,0.05943349,0.4947
ALAY,89863,32.84,0.05936102,0.4788
CAVY,91886,32.10,0.05931830,0.5023
LAZE,68450,43.08,0.05930967,0.5031
TIGE,99805,29.54,0.05930078,0.4603
WHAE,82570,35.68,0.05926055,0.4965
ADOS,64927,45.34,0.05921083,0.5233
SIS,64421,45.69,0.05919838,0.5341
HATE,78747,37.34,0.05914124,0.4884
FEHS,63056,46.62,0.05913132,0.5269
WEED,83192,35.33,0.05912404,0.4900
VILDE,81018,36.28,0.05912177,0.4998
KUFI,92280,31.85,0.05911159,0.4789
KEY,79580,36.90,0.05907044,0.5118
